latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2024-01-16T14:00,27.5,48,15.5,0.30,0.30
2024-01-16T15:00,26.9,51,16.0,0.30,0.30
2024-01-16T16:00,28.9,41,14.3,0.00,0.00
2024-01-16T17:00,28.6,40,13.8,0.00,0.00
2024-01-16T18:00,27.4,50,16.1,0.00,0.00
2024-01-16T19:00,24.3,60,16.0,0.00,0.00
2024-01-16T20:00,23.6,56,14.4,0.00,0.00
2024-01-16T21:00,22.5,60,14.4,0.00,0.00
2024-01-16T22:00,21.1,72,15.9,0.00,0.00
2024-01-16T23:00,20.2,86,17.8,0.00,0.00
2024-01-17T00:00,19.6,90,17.9,0.00,0.00
2024-01-17T01:00,19.3,91,17.8,0.00,0.00
2024-01-17T02:00,19.5,90,17.8,0.00,0.00
2024-01-17T03:00,19.0,92,17.7,0.00,0.00
2024-01-17T04:00,19.5,81,16.1,0.00,0.00
2024-01-17T05:00,19.3,85,16.7,0.00,0.00
2024-01-17T06:00,18.9,85,16.3,0.00,0.00
2024-01-17T07:00,18.0,82,14.9,0.00,0.00
2024-01-17T08:00,20.0,76,15.6,0.00,0.00
2024-01-17T09:00,22.6,68,16.3,0.00,0.00
2024-01-17T10:00,25.6,55,15.8,0.00,0.00
2024-01-17T11:00,27.5,42,13.3,0.00,0.00
2024-01-17T12:00,28.7,37,12.6,0.00,0.00
2024-01-17T13:00,29.4,35,12.4,0.00,0.00
2024-01-17T14:00,29.4,34,12.0,0.00,0.00
2024-01-17T15:00,29.2,33,11.3,0.00,0.00
2024-01-17T16:00,28.0,36,11.7,0.00,0.00
2024-01-17T17:00,27.6,38,11.9,0.00,0.00
2024-01-17T18:00,26.3,60,17.9,0.00,0.00
2024-01-17T19:00,24.6,52,14.0,0.00,0.00
2024-01-17T20:00,22.0,70,16.3,0.00,0.00
2024-01-17T21:00,21.1,79,17.4,0.00,0.00
2024-01-17T22:00,20.1,83,17.1,0.00,0.00
2024-01-17T23:00,19.3,90,17.6,0.00,0.00
2024-01-18T00:00,18.8,92,17.6,0.00,0.00
2024-01-18T01:00,18.3,94,17.3,0.00,0.00
2024-01-18T02:00,17.3,96,16.7,0.00,0.00
